id,phrase,feature_1,feature_2,feature_3,sentiment
3137,The film grows on you .,6.0,1.0,1.0,2
3138,Producer John Penotti surveyed high school students ... and came back with the astonishing revelation that `` they wanted to see something that did n't talk down to them . '',31.0,3.0,9.0,2
3139,The characters are more deeply thought through than in most ` right-thinking ' films .,,1.0,4.0,2
3140,"The film falls short on tension , eloquence , spiritual challenge -- things that have made the original New Testament stories so compelling for 20 centuries .",27.0,3.0,5.0,0
3141,It grabs you in the dark and shakes you vigorously for its duration .,14.0,,1.0,2
3142,An imponderably stilted and self-consciously arty movie .,8.0,1.0,2.0,0
3143,"The overall vibe is druggy and self-indulgent , like a spring-break orgy for pretentious arts majors .",17.0,1.0,4.0,0
3144,A picture as erratic as its central character .,9.0,1.0,1.0,1
3145,Goes a long way on hedonistic gusto .,8.0,,1.0,1
3146,"It 's been 13 months and 295 preview screenings since I last walked out on a movie , but Resident Evil really earned my indignant , preemptive departure .",29.0,4.0,4.0,0
3147,The skills of a calculus major at M.I.T. are required to balance all the formulaic equations in the long-winded heist comedy Who Is Cletis Tout ?,26.0,,5.0,0
3148,Promises is a compelling piece that demonstrates just how well children can be trained to live out and carry on their parents ' anguish .,25.0,1.0,2.0,2
3149,"You 'll forget about it by Monday , though , and if they 're old enough to have developed some taste , so will your kids .",27.0,2.0,6.0,0
3150,"It 's an actor 's showcase that accomplishes its primary goal without the use of special effects , but rather by emphasizing the characters -- including the supporting ones .",30.0,1.0,6.0,1
3151,Feels like a cold old man going through the motions .,11.0,1.0,1.0,0
3152,"With elements cribbed from Lang 's Metropolis , Welles ' Kane , and Eisenstein 's Potemkin",16.0,,5.0,0
3153,Fear Dot Com is more frustrating than a modem that disconnects every 10 seconds .,15.0,,1.0,0
3154,This is a heartfelt story ... it just is n't a very involving one .,15.0,1.0,5.0,0
3155,"As Janice , Eileen Walsh , an engaging , wide-eyed actress whose teeth are a little too big for her mouth , infuses the movie with much of its slender , glinting charm .",34.0,4.0,7.0,2
3156,"For all the time we spend with these people , we never really get inside of them .",,1.0,,0
3157,A surprisingly charming and even witty match for the best of Hollywood 's comic-book adaptations .,16.0,2.0,,2
3158,"It 's endlessly inventive , consistently intelligent and sickeningly savage .",11.0,,3.0,2
3159,"The way the roundelay of partners functions , and the interplay within partnerships and among partnerships and the general air of Gator-bashing are consistently delightful .",26.0,2.0,3.0,2
3160,It 's a mystery how the movie could be released in this condition .,14.0,1.0,2.0,0
3161,"Piccoli 's performance is amazing , yes , but the symbols of loss and denial and life-at-arm 's - length in the film seem irritatingly transparent .",27.0,,8.0,0
3162,What -LRB- Frei -RRB- gives us ... is a man who uses the damage of war -- far more often than the warfare itself -- to create the kind of art shots that fill gallery shows .,37.0,,12.0,2
3163,One-sided documentary offers simplistic explanations to a very complex situation .,,,2.0,0
3164,"The nonstop artifice ultimately proves tiresome , with the surface histrionics failing to compensate for the paper-thin characterizations and facile situations .",22.0,1.0,3.0,0
3165,My Wife Is an Actress works as well as it does because -LRB- the leads -RRB- are such a companionable couple .,22.0,4.0,5.0,2
3166,"It has fun with the quirks of family life , but it also treats the subject with fondness and respect .",21.0,,2.0,2
3167,"Simply put , there should have been a more compelling excuse to pair Susan Sarandon and Goldie Hawn .",19.0,5.0,2.0,0
3168,"Like Shrek , Spirit 's visual imagination reminds you of why animation is such a perfect medium for children , because of the way it allows the mind to enter and accept another world .",35.0,3.0,,2
3169,"Though her fans will assuredly have their funny bones tickled , others will find their humor-seeking dollars best spent elsewhere .",21.0,,3.0,0
3170,"Overall , Cletis Tout is a winning comedy that excites the imagination and tickles the funny bone .",18.0,3.0,,2
3171,It 's supposed to be a romantic comedy - it suffers from too much Norma Rae and not enough Pretty Woman .,22.0,,3.0,0
3172,"Yes , soar .",4.0,1.0,2.0,2
3173,"The problem with The Bread , My Sweet is that it 's far too sentimental .",16.0,,3.0,0
3174,Perhaps the most annoying thing about Who Is Cletis Tout ?,11.0,5.0,,1
3175,"The April 2002 instalment of the American War for Independence , complete with loads of CGI and bushels of violence , but not a drop of human blood .",29.0,6.0,3.0,0
3176,"No , I do n't know why Steven Seagal is considered a star , nor why he keeps being cast in action films when none of them are ever any good or make any money .",36.0,4.0,4.0,0
3177,"Here 's a case of two actors who do everything humanly possible to create characters who are sweet and believable , and are defeated by a screenplay that forces them into bizarre , implausible behavior .",36.0,1.0,4.0,0
3178,... an interesting slice of history .,7.0,0.0,,2
3179,"The cast has a high time , but de Broca has little enthusiasm for such antique pulp .",18.0,2.0,2.0,1
3180,Beautifully crafted and cooly unsettling ... recreates the atmosphere of the crime expertly .,14.0,1.0,4.0,2
3181,Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .,18.0,3.0,1.0,2
3182,A genuinely moving and wisely unsentimental drama .,8.0,1.0,1.0,2
3183,This is the case of a pregnant premise being wasted by a script that takes few chances and manages to insult the intelligence of everyone in the audience .,29.0,1.0,1.0,0
3184,Hate it because it 's lousy .,7.0,,2.0,0
3185,"In a big corner office in Hell , Satan is throwing up his hands in surrender , is firing his R&D people , and has decided he will just screen The Master of Disguise 24\/7 .",36.0,,7.0,0
3186,-LRB- A -RRB- crushing disappointment .,6.0,1.0,5.0,0
3187,Visually striking and viscerally repellent .,6.0,1.0,1.0,2
3188,Nothing can detract from the affection of that moral favorite : friends will be friends through thick and thin .,20.0,,2.0,2
3189,The script manages the rare trick of seeming at once both refreshingly different and reassuringly familiar .,17.0,1.0,1.0,2
3190,Shrewd but pointless .,4.0,1.0,1.0,0
3191,A. . .,3.0,1.0,3.0,1
3192,"Without Shakespeare 's eloquent language , the update is dreary and sluggish .",13.0,2.0,,0
3193,-LRB- `` Take Care of My Cat '' -RRB- is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .,39.0,6.0,9.0,2
3194,"` Moore is like a progressive bull in a china shop , a provocateur crashing into ideas and special-interest groups as he slaps together his own brand of liberalism . '",31.0,1.0,,0
3195,"A good film with a solid pedigree both in front of and , more specifically , behind the camera .",20.0,,3.0,2
3196,They are what makes it worth the trip to the theatre .,12.0,,1.0,2
3197,What elevates the movie above the run-of-the-mill singles blender is its surreal sense of humor and technological finish .,19.0,1.0,4.0,2
3198,"Except as an acting exercise or an exceptionally dark joke , you wonder what anyone saw in this film that allowed it to get made .",26.0,1.0,2.0,1
3199,"Despite its promising cast of characters , Big Trouble remains a loosely tied series of vignettes which only prove that ` zany ' does n't necessarily mean ` funny . '",31.0,3.0,7.0,0
3200,"I 'm all for the mentally challenged getting their fair shot in the movie business , but surely it does n't have to be as a collection of keening and self-mutilating sideshow geeks .",34.0,1.0,5.0,1
3201,Although commentary on Nachtwey is provided ... it 's the image that really tells the tale .,,2.0,5.0,2
3202,Smothered by its own solemnity .,6.0,1.0,1.0,1
3203,Bravado Kathy !,3.0,2.0,1.0,2
3204,Does point the way for adventurous Indian filmmakers toward a crossover into nonethnic markets .,15.0,2.0,1.0,2
3205,"This method almost never fails him , and it works superbly here .",13.0,1.0,,2
3206,"It is , however , a completely honest , open-hearted film that should appeal to anyone willing to succumb to it .",22.0,,5.0,2
3207,"It 's not going to be everyone 's bag of popcorn , but it definitely gives you something to chew on .",22.0,1.0,4.0,2
3208,"Call it magic realism or surrealism , but Miss Wonton floats beyond reality with a certain degree of wit and dignity .",22.0,3.0,2.0,2
3209,-LRB- Breheny 's -RRB- lensing of the New Zealand and Cook Island locations captures both the beauty of the land and the people .,24.0,5.0,6.0,2
3210,"Demme gets a lot of flavor and spice into his Charade remake , but he ca n't disguise that he 's spiffing up leftovers that are n't so substantial or fresh .",32.0,,5.0,0
3211,"Otherwise , maybe .",4.0,1.0,2.0,1
3212,A rude black comedy about the catalytic effect a holy fool has upon those around him in the cutthroat world of children 's television .,25.0,1.0,2.0,0
3213,ending .,2.0,0.0,1.0,1
3214,"... post-September 11 , `` The Sum Of All Fears '' seems more tacky and reprehensible , manipulating our collective fear without bestowing the subject with the intelligence or sincerity it unequivocally deserves .",34.0,5.0,11.0,0
3215,"Tells a fascinating , compelling story .",7.0,1.0,2.0,2
3216,"Sex ironically has little to do with the story , which becomes something about how lame it is to try and evade your responsibilities and that you should never , ever , leave a large dog alone with a toddler .",41.0,1.0,4.0,0
3217,There are scenes of cinematic perfection that steal your heart away .,12.0,1.0,1.0,2
3218,"The stripped-down dramatic constructs , austere imagery and abstract characters are equal parts poetry and politics , obvious at times but evocative and heartfelt .",25.0,1.0,4.0,1
3219,"Every five minutes or so , someone gets clocked .",10.0,1.0,2.0,1
3220,"While dutifully pulling on heartstrings , directors Dean Deblois and Chris Sanders valiantly keep punching up the mix .",19.0,5.0,,2
3221,You do n't know whether to admire the film 's stately nature and call it classicism or be exasperated by a noticeable lack of pace .,26.0,1.0,3.0,0
3222,... may work as an addictive guilty pleasure but the material never overcomes its questionable satirical ambivalence .,18.0,0.0,4.0,0
3223,A film that will probably please people already fascinated by Behan but leave everyone else yawning with admiration .,19.0,2.0,1.0,1
3224,"Texan director George Ratliff had unlimited access to families and church meetings , and he delivers fascinating psychological fare .",20.0,3.0,2.0,2
3225,"Co-writer\/director Jonathan Parker 's attempts to fashion a Brazil-like , hyper-real satire fall dreadfully short .",16.0,4.0,8.0,0
3226,"Though a capable thriller , somewhere along the way K-19 jettisoned some crucial drama .",,,3.0,0
3227,"It 's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .",21.0,,5.0,2
3228,`` Simone '' is a fun and funky look into an artificial creation in a world that thrives on artificiality .,21.0,1.0,5.0,2
3229,The writing is clever and the cast is appealing .,10.0,1.0,1.0,2
3230,"With nary a glimmer of self-knowledge , -LRB- Crane -RRB- becomes more specimen than character -- and Auto Focus remains a chilly , clinical lab report .",27.0,4.0,,0
3231,"In the book-on-tape market , the film of `` The Kid Stays in the Picture '' would be an abridged edition",21.0,,7.0,0
3232,"A minor work yet there 's no denying the potency of Miller 's strange , fleeting brew of hopeful perseverance and hopeless closure .",24.0,2.0,4.0,1
3233,Demonstrates a vivid imagination and an impressive style that result in some terrific setpieces .,15.0,1.0,1.0,2
3234,"` It 's painful to watch Witherspoon 's talents wasting away inside unnecessary films like Legally Blonde and Sweet Home Abomination , I mean , Alabama . '",28.0,9.0,7.0,0
3235,"A so-so , made-for-TV something posing as a real movie .",11.0,1.0,5.0,0
3236,Suffers from unlikable characters and a self-conscious sense of its own quirky hipness .,14.0,1.0,2.0,0
3237,"Even by the intentionally low standards of frat-boy humor , Sorority Boys is a bowser .",16.0,,3.0,0
3238,"Personal Velocity ought to be exploring these women 's inner lives , but it never moves beyond their surfaces .",20.0,2.0,3.0,1
3239,"What makes Barbershop so likable , with all its flaws , is that it has none of the pushiness and decibel volume of most contemporary comedies .",,2.0,3.0,2
3240,"Muddled , trashy and incompetent",5.0,1.0,1.0,1
3241,An average coming-of-age tale elevated by the wholesome twist of a pesky mother interfering during her son 's discovery of his homosexuality .,23.0,1.0,4.0,1
3242,The film 's stagecrafts are intimate and therefore bolder than the otherwise calculated artifice that defines and overwhelms the film 's production design .,24.0,,3.0,1
3243,This is an exercise not in biography but in hero worship .,12.0,1.0,1.0,0
3244,The film 's thoroughly recycled plot and tiresome jokes ... drag the movie down .,,1.0,5.0,0
3245,` Blue Crush ' swims away with the Sleeper Movie of the Summer award .,15.0,5.0,,2
3246,"Nicole Holofcenter , the insightful writer\/director responsible for this illuminating comedy does n't wrap the proceedings up neatly but the ideas tie together beautifully .",,2.0,5.0,2
3247,Exciting documentary .,,1.0,,2
3248,There 's no disguising this as one of the worst films of the summer .,15.0,1.0,2.0,0
3249,"Slack and uninspired , and peopled mainly by characters so unsympathetic that you 're left with a sour taste in your mouth .",,,3.0,0
3250,It 's sweet ... but just a little bit too precious at the start and a little too familiar at the end .,,1.0,5.0,1
3251,"A little melodramatic , but with enough hope to keep you engaged .",13.0,1.0,2.0,2
3252,"Director Tom Dey demonstrated a knack for mixing action and idiosyncratic humor in his charming 2000 debut Shanghai Noon , but Showtime 's uninspired send-up of TV cop show cliches mostly leaves him shooting blanks .",36.0,7.0,4.0,2
3253,"So mind-numbingly awful that you hope Britney wo n't do it one more time , as far as movies are concerned .",,,4.0,0
3254,"Disney aficionados will notice distinct parallels between this story and the 1971 musical `` Bedknobs and Broomsticks , '' which also dealt with British children rediscovering the power of fantasy during wartime .",,4.0,6.0,1
3255,"Wonder , hope and magic can never escape the heart of the boy when the right movie comes along , especially if it begins with the name of Star Wars",30.0,3.0,2.0,2
3256,The fact that it is n't very good is almost beside the point .,14.0,1.0,2.0,0
3257,"Just consider what New Best Friend does not have , beginning with the minor omission of a screenplay .",19.0,4.0,2.0,0
3258,Would Benigni 's Italian Pinocchio have been any easier to sit through than this hastily dubbed disaster ?,,4.0,2.0,0
3259,"An engrossing story that combines psychological drama , sociological reflection , and high-octane thriller .",,1.0,4.0,2
3260,"Too ordinary to restore -LRB- Harmon -RRB- to prominence , despite some creepy scenes that evoke childish night terrors , and a praiseworthy attempt to generate suspense rather than gross out the audience .",34.0,2.0,7.0,1
3261,A modest masterpiece .,4.0,1.0,1.0,2
3262,A ragbag of cliches .,5.0,1.0,1.0,0
3263,`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era,,,,2
3264,"Short and sweet , but also more than anything else slight ... Tadpole pulls back from the consequences of its own actions and revelations .",25.0,2.0,5.0,2
3265,"Instead of a witty expose on the banality and hypocrisy of too much kid-vid , we get an ugly , mean-spirited lashing out by an adult who 's apparently been forced by his kids to watch too many Barney videos .",41.0,2.0,6.0,0
3266,"If Hill is n't quite his generation 's Don Siegel -LRB- or Robert Aldrich -RRB- , it 's because there 's no discernible feeling beneath the chest hair ;",29.0,6.0,10.0,0
3267,"By no means a great movie , but it is a refreshingly forthright one .",15.0,1.0,,2
3268,"Nonchalantly freaky and uncommonly pleasurable , Warm Water may well be the year 's best and most unpredictable comedy .",,3.0,,2
3269,Gone are the flamboyant mannerisms that are the trademark of several of his performances .,15.0,1.0,1.0,1
3270,"What 's most refreshing about Real Women Have Curves is its unforced comedy-drama and its relaxed , natural-seeming actors .",20.0,5.0,5.0,2
3271,"You come away wishing , though , that the movie spent a lot less time trying to make a credible case for reports from the afterlife and a lot more time on the romantic urgency that 's at the center of the story .",44.0,1.0,4.0,1
3272,Brave and sweetly rendered love story .,7.0,1.0,1.0,2
3273,What does n't this film have that an impressionable kid could n't stand to hear ?,16.0,1.0,,2
3274,"If you do n't ... well , skip to another review .",12.0,,6.0,1
3275,The directive to protect the code at all costs also begins to blur as the importance of the man and the code merge,23.0,1.0,0.0,1
3276,-- is a crime that should be punishable by chainsaw .,11.0,0.0,3.0,0
3277,This is a movie where the most notable observation is how long you 've been sitting still .,18.0,1.0,2.0,0
3278,This is a more fascinating look at the future than `` Bladerunner '' and one of the most high-concept sci fi adventures attempted for the screen .,27.0,2.0,6.0,2
3279,"One of the best films I have ever seen , constantly pulling the rug from underneath us , seeing things from new sides , plunging deeper , getting more intense .",31.0,2.0,5.0,2
3280,"This is n't a retooled genre piece , the tale of a guy and his gun , but an amiably idiosyncratic work .",,,4.0,1
3281,"Even if The Ring has a familiar ring , it 's still unusually crafty and intelligent for Hollywood horror .",20.0,4.0,3.0,2
3282,Watching Spirited Away is like watching an Eastern imagination explode .,11.0,4.0,1.0,1
3283,"First and foremost ... the reason to go see `` Blue Crush '' is the phenomenal , water-born cinematography by David Hennings .",23.0,5.0,10.0,2
3284,"There 's absolutely no reason why Blue Crush , a late-summer surfer girl entry , should be as entertaining as it is",22.0,,4.0,2
3285,None of this is half as moving as the filmmakers seem to think .,14.0,,1.0,0
3286,Quelle surprise !,,,1.0,1
3287,The inherent limitations of using a video game as the source material movie are once again made all too clear in this schlocky horror\/action hybrid .,26.0,1.0,,0
3288,"Written , flatly , by David Kendall and directed , barely , by There 's Something About Mary co-writer Ed Decter .",,9.0,7.0,0
3289,"If `` Lilo & Stitch '' is n't the most edgy piece of Disney animation to hit the silver screen , then this first film to use a watercolor background since `` Dumbo '' certainly ranks as the most original in years .",43.0,5.0,12.0,2
3290,It merely indulges in the worst elements of all of them .,12.0,1.0,1.0,0
3291,"Though the film never veers from its comic course , its unintentional parallels might inadvertently evoke memories and emotions which are anything but humorous .",25.0,1.0,2.0,1
3292,But darned if it does n't also keep us riveted to our seats .,,1.0,2.0,2
3293,"A light , engaging comedy that fumbles away almost all of its accumulated enjoyment with a crucial third act miscalculation .",21.0,1.0,2.0,0
3294,It 's fitting that a movie as artificial and soulless as The Country Bears owes its genesis to an animatronic display at Disneyland .,24.0,5.0,2.0,0
3295,"Stanley Kwan has directed not only one of the best gay love stories ever made , but one of the best love stories of any stripe .",27.0,2.0,2.0,2
3296,"Then again , in a better movie , you might not have noticed .",,1.0,3.0,0
3297,"Peter Jackson and company once again dazzle and delight us , fulfilling practically every expectation either a longtime Tolkien fan or a movie-going neophyte could want .",27.0,3.0,,2
3298,"The people in Jessica are so recognizable and true that , as in real life , we 're never sure how things will work out .",26.0,2.0,4.0,2
3299,"... a great , participatory spectator sport . '",,,6.0,2
3300,Lawrence plumbs personal tragedy and also the human comedy .,10.0,1.0,1.0,2
3301,"The movie spends more time with Schneider than with newcomer McAdams , even though her performance is more interesting -LRB- and funnier -RRB- than his .",26.0,3.0,6.0,0
3302,"A vibrant whirlwind of love , family and all that goes with it , My Big Fat Greek Wedding is a non-stop funny feast of warmth , colour and cringe .",31.0,6.0,5.0,2
3303,"Sensitively examines general issues of race and justice among the poor , and specifically raises serious questions about the death penalty and asks what good the execution of a mentally challenged woman could possibly do .",36.0,1.0,2.0,1
3304,The trailer is a riot .,,,1.0,2
3305,Fulford-Wierzbicki ... deftly captures the wise-beyond-her-years teen .,8.0,1.0,8.0,2
3306,Zoom !,2.0,1.0,1.0,2
3307,and `` They 're coming ! '',,1.0,6.0,1
3308,"The trouble with making this queen a thoroughly modern maiden is that it also makes her appear foolish and shallow rather than , as was more likely , a victim of mental illness .",34.0,1.0,3.0,0
3309,"What they 're doing is a matter of plumbing arrangements and mind games , of no erotic or sensuous charge .",21.0,1.0,3.0,0
3310,A faster paced family flick .,6.0,1.0,,2
3311,"Indeed , none of these words really gets at the very special type of badness that is Deuces Wild .",20.0,,2.0,1
3312,"Is n't as sharp as the original ... Despite some visual virtues , ` Blade II ' just does n't cut it .",23.0,4.0,9.0,0
3313,"The heart of the film is a touching reflection on aging , suffering and the prospect of death .",19.0,1.0,,2
3314,But it 's surprisingly harmless .,6.0,1.0,2.0,2
3315,The script feels as if it started to explore the obvious voyeuristic potential of ` hypertime ' but then backed off when the producers saw the grosses for Spy Kids .,31.0,3.0,3.0,1
3316,"Occasionally interesting but essentially unpersuasive , a footnote to a still evolving story .",14.0,,2.0,1
3317,"Just a string of stale gags , with no good inside dope , and no particular bite .",,1.0,,0
3318,"A first-class road movie that proves you can run away from home , but your ego and all your problems go with you .",24.0,1.0,3.0,2
3319,"Gooding and Coburn are both Oscar winners , a fact which , as you watch them clumsily mugging their way through Snow Dogs , seems inconceivable .",27.0,5.0,4.0,0
3320,"Writer-director David Jacobson and his star , Jeremy Renner , have made a remarkable film that explores the monster 's psychology not in order to excuse him but rather to demonstrate that his pathology evolved from human impulses that grew hideously twisted .",43.0,5.0,5.0,2
3321,The movie is a lumbering load of hokum but ... it 's at least watchable .,16.0,,5.0,0
3322,"The story gives ample opportunity for large-scale action and suspense , which director Shekhar Kapur supplies with tremendous skill .",20.0,3.0,3.0,2
3323,Chouraqui brings documentary-like credibility to the horrors of the killing field and the barbarism of ` ethnic cleansing . ',,1.0,4.0,2
3324,"Instead of letting the laughs come as they may , Lawrence unleashes his trademark misogyny -- er , comedy -- like a human volcano or an overflowing septic tank , take your pick .",34.0,2.0,,0
3325,Exceptionally well acted by Diane Lane and Richard Gere .,10.0,5.0,1.0,2
3326,It 's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .,22.0,,,1
3327,Graham Greene 's novel of colonialism and empire is elevated by Michael Caine 's performance as a weary journalist in a changing world .,24.0,4.0,,2
3328,"Once again , director Chris Columbus takes a hat-in-hand approach to Rowling that stifles creativity and allows the film to drag on for nearly three hours .",,4.0,4.0,0
3329,... its stupidities wind up sticking in one 's mind a lot more than the cool bits .,18.0,0.0,,1
3330,"The tone errs on the shrill side , tempered by a soft southern gentility that speaks of beauty , grace and a closet full of skeletons .",27.0,1.0,3.0,1
3331,"Efficient , suitably anonymous chiller .",6.0,1.0,2.0,2
3332,"Cherry Orchard is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story . '",,2.0,5.0,0
3333,"It 's packed with adventure and a worthwhile environmental message , so it 's great for the kids .",19.0,,4.0,2
3334,"I just saw this movie ... well , it 's probably not accurate to call it a movie .",19.0,1.0,6.0,0
3335,"What I saw , I enjoyed .",7.0,3.0,2.0,2
3336,What results is the best performance from either in years .,11.0,1.0,1.0,2
3337,"It forces you to watch people doing unpleasant things to each other and themselves , and it maintains a cool distance from its material that is deliberately unsettling .",29.0,1.0,2.0,0
3338,As refreshing as a drink from a woodland stream .,10.0,1.0,,2
3339,"It is depressing , ruthlessly pained and depraved , the movie equivalent of staring into an open wound .",19.0,1.0,3.0,0
3340,You 'll trudge out of the theater feeling as though you rode the Zipper after eating a corn dog and an extra-large cotton candy .,25.0,2.0,3.0,0
3341,"Tom Green and an Ivy League college should never appear together on a marquee , especially when the payoff is an unschooled comedy like Stealing Harvard , which fails to keep 80 minutes from seeming like 800 .",38.0,6.0,3.0,1
3342,The Porky 's Revenge : Ultimate Edition ?,,5.0,3.0,1
3343,The plot 's clearly mythic structure may owe more to Disney 's strong sense of formula than to the original story .,22.0,2.0,3.0,1
3344,A lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .,,1.0,3.0,2
3345,"It sounds like another clever if pointless excursion into the abyss , and that 's more or less how it plays out .",23.0,1.0,3.0,0
3346,"Writer\/director Burr Steers emphasizes the Q in Quirky , with mixed results .",13.0,5.0,4.0,2
3347,"A sense of real magic , perhaps .",,1.0,2.0,2
3348,"Tully is in many ways the perfect festival film : a calm , self-assured portrait of small town regret , love , duty and friendship that appeals to the storytelling instincts of a slightly more literate filmgoing audience .",39.0,1.0,,2
3349,"Instead of a balanced film that explains the zeitgeist that is the X Games , we get a cinematic postcard that 's superficial and unrealized .",,,3.0,0
3350,"It is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .",23.0,1.0,2.0,2
3351,"A comedy that is warm , inviting , and surprising .",11.0,1.0,,2
3352,A remarkably insightful look at the backstage angst of the stand-up comic .,13.0,,2.0,2
3353,"A shoddy male hip hop fantasy filled with guns , expensive cars , lots of naked women and Rocawear clothing .",21.0,2.0,3.0,0
3354,"A predictable , manipulative stinker .",6.0,1.0,2.0,0
3355,in period costume and with a bigger budget .,,0.0,,1
3356,Very stupid and annoying .,5.0,1.0,1.0,0
3357,"As home movie gone haywire , it 's pretty enjoyable , but as sexual manifesto , I 'd rather listen to old Tori Amos records .",26.0,4.0,6.0,1
3358,Plays like the old disease-of-the-week small-screen melodramas .,8.0,1.0,5.0,0
3359,No Such Thing breaks no new ground and treads old turf like a hippopotamus ballerina .,16.0,3.0,1.0,0
3360,... a rich and intelligent film that uses its pulpy core conceit to probe questions of attraction and interdependence and how the heart accomodates practical needs .,,0.0,4.0,2
3361,Like a less dizzily gorgeous companion to Mr. Wong 's In the Mood for Love -- very much a Hong Kong movie despite its mainland setting .,27.0,8.0,,1
3362,"Fubar is very funny , but not always in a laugh-out-loud way .",13.0,1.0,4.0,1
3363,Dramas like this make it human .,7.0,1.0,1.0,2
3364,Good-looking but relentlessly lowbrow outing plays like Clueless Does South Fork .,12.0,5.0,2.0,0
3365,Time of Favor could have given audiences the time of day by concentrating on the elements of a revealing alienation among a culture of people who sadly are at hostile odds with one another through recklessness and retaliation .,39.0,2.0,,0
3366,It shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there 's a little girl-on-girl action .,31.0,1.0,4.0,0
3367,Rodriguez does a splendid job of racial profiling Hollywood style -- casting excellent Latin actors of all ages -- a trend long overdue .,24.0,3.0,5.0,2
3368,"-LRB- Jeff 's -RRB- gorgeous , fluid compositions , underlined by Neil Finn and Edmund McWilliams 's melancholy music , are charged with metaphor , but rarely easy , obvious or self-indulgent .",33.0,5.0,13.0,2
3369,"Finally coming down off of Miramax 's deep shelves after a couple of aborted attempts , Waking Up in Reno makes a strong case for letting sleeping dogs lie .",30.0,5.0,3.0,1
3370,The charming result is Festival in Cannes .,8.0,3.0,1.0,2
3371,"Exactly what its title implies : lusty , boisterous and utterly charming .",13.0,1.0,3.0,2
3372,"It 's funny , touching , dramatically forceful , and beautifully shot .",13.0,1.0,5.0,2
3373,The pace of the film is very slow -LRB- for obvious reasons -RRB- and that too becomes off-putting .,19.0,1.0,,1
3374,"Chilling in its objective portrait of dreary , lost twenty-first century America .",13.0,2.0,3.0,2
3375,You do n't want to call the cops .,9.0,1.0,2.0,1
3376,"Without -LRB- De Niro -RRB- , City By The Sea would slip under the waves .",16.0,7.0,,0
3377,So brisk is Wang 's pacing that none of the excellent cast are given air to breathe .,18.0,2.0,2.0,1
3378,It sends you away a believer again and quite cheered at just that .,14.0,1.0,1.0,2
3379,Control-Alt-Delete Simone as quickly as possible,6.0,,2.0,0
3380,The Grey Zone gives voice to a story that needs to be heard in the sea of Holocaust movies ... but the film suffers from its own difficulties .,29.0,,4.0,1
3381,"While the humor is recognizably Plympton , he has actually bothered to construct a real story this time .",19.0,,2.0,2
3382,"Its use of the thriller form to examine the labyrinthine ways in which people 's lives cross and change , buffeted by events seemingly out of their control , is intriguing , provocative stuff .",,,,2
3383,A film in a class with Spike Lee 's masterful Do The Right Thing .,15.0,7.0,2.0,2
3384,-- that the ` true story ' by which All the Queen 's Men is allegedly `` inspired '' was a lot funnier and more deftly enacted than what 's been cobbled together onscreen .,35.0,3.0,11.0,0
3385,"Bad in such a bizarre way that it 's almost worth seeing , if only to witness the crazy confluence of purpose and taste .",25.0,1.0,,1
3386,"Much of it comes from the brave , uninhibited performances by its lead actors .",15.0,,,2
3387,"Surprisingly , considering that Baird is a former film editor , the movie is rather choppy .",17.0,2.0,3.0,0
3388,And it is .,,1.0,1.0,2
3389,Charlotte Sometimes is a brilliant movie .,7.0,2.0,1.0,2
3390,"Still , it just sits there like a side dish no one ordered .",14.0,1.0,,0
3391,An unorthodox little film noir organized crime story that includes one of the strangest love stories you will ever see .,21.0,,1.0,2
3392,Leaks treacle from every pore .,6.0,1.0,1.0,0
3393,"Enjoyably fast-moving , hard-hitting documentary .",6.0,1.0,4.0,2
3394,TV skit-com material fervently deposited on the big screen .,10.0,1.0,2.0,0
3395,"Despite its visual virtuosity , ` Naqoyqatsi ' is banal in its message and the choice of material to convey it .",22.0,2.0,,0
3396,Weighty and ponderous but every bit as filling as the treat of the title .,,1.0,1.0,2
3397,"A naturally funny film , Home Movie makes you crave Chris Smith 's next movie .",16.0,5.0,3.0,2
3398,Its appeal will probably limited to LDS Church members and undemanding armchair tourists .,14.0,3.0,1.0,0
3399,One regards Reign of Fire with awe .,8.0,,1.0,2
3400,Who is the audience for Cletis Tout ?,8.0,3.0,1.0,1
3401,"Perry 's good and his is an interesting character , but `` Serving Sara '' has n't much more to serve than silly fluff .",,,8.0,0
3402,"None of this has the suavity or classical familiarity of Bond , but much of it is good for a laugh .",22.0,2.0,2.0,1
3403,"Too often , Son of the Bride becomes an exercise in trying to predict when a preordained `` big moment '' will occur and not `` if . ''",29.0,3.0,10.0,0
3404,"Grant carries the day with impeccable comic timing , raffish charm and piercing intellect .",15.0,1.0,2.0,2
3405,The irony is that this film 's cast is uniformly superb ; their performances could have -- should have -- been allowed to stand on their own .,28.0,1.0,7.0,2
